;NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;BAIRRO;Tamanho;Endereco;BAIRRO_LOC;LATITUDE;LONGITUDE;LAT_BAIRRO;LONG_BAIRRO
29;Colégio Ari de Sá - Sede Aldeota;;;R. MONSENHOR CATÃO, 1655 , MEIRELES, FORTALEZA , CE, 60175,010;;;Ensino Médio;MEIRELES;7;R. MONSENHOR CATÃO  1655 , FORTALEZA;Meireles, FORTALEZA, CE;-3.7463944;-38.4925278;-3.7278218;-38.5003721
30;Colégio 21 de Abril;;;AV. BEZERRA DE MENEZES, 600 , SÃO GERARDO, FORTALEZA , CE, 60325,001;;;Ensino Médio;SÃO GERARDO;7; BEZERRA DE MENEZES  600 , FORTALEZA;São Gerardo, FORTALEZA, CE;-3.7324184;-38.5503193;-3.7302419;-38.5575276
31;EEMTI Visconde do Rio Branco;;;AV. DOM MANUEL, 1803 , CENTRO, FORTALEZA , CE, 60060,090;;;Ensino Médio;CENTRO;7; DOM MANUEL  1803 , FORTALEZA;Centro, FORTALEZA, CE;-3.7369211;-38.5533107;-3.7281287;-38.527412
32;EMTI Professora Antonieta Cals;;;RUA MONSENHOR SALAZAR, 1480 , SÃO JOÃO DO TAUAPE, FORTALEZA , CE, 60130,731;;;Ensino Médio;SÃO JOÃO DO TAUAPE;7;RUA MONSENHOR SALAZAR  1480 , FORTALEZA;São João do Tauape, FORTALEZA, CE;-3.7556828;-38.5061655;-3.7573612;-38.5106394
33;EEM Figueiredo Correia;;;RUA MARECHAL DEODORO, 733 , BENFICA, FORTALEZA , CE, 60020,060;;;Ensino Médio;BENFICA;7;RUA MARECHAL DEODORO  733 , FORTALEZA;Benfica, FORTALEZA, CE;-3.7421644;-38.5355895;-3.741486;-38.538855
34;Supletivo J Oliveira - Sede Aldeota;;;R. OSVALDO CRUZ, 2312 , DIONÍSIO TORRES, FORTALEZA , CE, 60125,151;;;Ensino Médio;DIONÍSIO TORRES;7;R. OSVALDO CRUZ  2312 , FORTALEZA;Dionísio Torres, FORTALEZA, CE;-3.7456575;-38.5037817;-3.7480271;-38.5064872
35;Colégio Atrius;;;R. PAULO FIRMEZA, 1290 , SÃO JOÃO DO TAUAPE, FORTALEZA , CE, 60130,421;;;Ensino Médio;SÃO JOÃO DO TAUAPE;7;R. PAULO FIRMEZA  1290 , FORTALEZA;São João do Tauape, FORTALEZA, CE;-3.7566256;-38.5069094;-3.7573612;-38.5106394
36;Colégio Lourenço Filho - Sede Centro;;;R. BARÃO DO RIO BRANCO, 2101 , JOSÉ BONIFACIO, FORTALEZA , CE, 60025,061;;;Ensino Médio;JOSÉ BONIFACIO;7;R. BARÃO DO RIO BRANCO  2101 , FORTALEZA;José Bonifacio, FORTALEZA, CE;-3.7363665;-38.5310565;-3.7394569;-38.5285591
37;EEEP Paulo VI;;;R. JORGE DUMAR, 1841 , JARDIM AMÉRICA, FORTALEZA , CE, 60410,426;;;Ensino Médio;JARDIM AMÉRICA;7;R. JORGE DUMAR  1841 , FORTALEZA;Jardim América, FORTALEZA, CE;-3.7522404;-38.5389438;-3.7523233;-38.5423767
38;Centro Educacional Vitória;;;CAÇA E PESCA , AV. DIOGUINHO, 6207 , PRAIA DO FUTURO II, FORTALEZA , CE, 60182,125;;;Ensino Médio;PRAIA DO FUTURO II;8;CAÇA E PESCA   6207 , FORTALEZA;Praia do Futuro II, FORTALEZA, CE;-3.7703119;-38.4414331;-3.7622082;-38.4448972
