NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Escola Sonho Infantil | Educação Infantil | Ensino Fundamental | Colégio Particular Infantil |;;;R. da Assunção, 1668 - José Bonifacio, Fortaleza - CE, 60712-020;;;Ensino Médio
Colégio Santo Tomás de Aquino;;;R. Mario Mamede, 750 - Fátima, Fortaleza - CE, 60415-000;;;Ensino Médio
Colégio Estadual Justiniano de Serpa;;;Av. Santos Dumont, 56 - Centro, Fortaleza - CE, 63475-144;;;Ensino Médio
Colégio São Mateus;;;R. Frei Humberto, 748 - Benfica, Fortaleza - CE, 60011-110;;;Ensino Médio
Colégio Santo Inácio;;;Av. Desembargador Moreira, 2355 - Aldeota, Fortaleza - CE, 60135-102;;;Ensino Médio
Colégio Militar de Fortaleza (CMF);;;Av. Santos Dumont, 485 - Aldeota, Fortaleza - CE, 60150-160;;;Ensino Médio
Colégio Monsenhor Joviniano Barreto;;;Rua Frei Vidal, 1621 - São João do Tauape, Fortaleza - CE, 60120-100;;;Ensino Médio
EMEIEF Frei Agostinho Fernandes;;;Av. César Cals, 2370 - Praia do Futuro I, Fortaleza - CE, 60182-000;;;Ensino Médio
Espaço Criativo;;;R. Lauro Maia, 1353 - Fátima, Fortaleza - CE, 60055-210;;;Ensino Médio
EMEIEF José Dias Macêdo;;;R. Nunes Valente, 809 - Meireles, Fortaleza - CE, 60125-070;;;Ensino Médio
CEJA - Centro Integrado de Educação para Jovens e Adultos;;;Av. Bezerra de Menezes, 100 - Farias Brito, Fortaleza - CE, 60325-000;;;Ensino Médio
Vasconcelos Colegio;;;Av. Visconde do Rio Branco, 1257 - Centro, Fortaleza - CE, 60055-170;;;Ensino Médio
Colégio e Curso Zerohum;;;Avenida Imperador, 820 - Centro, Fortaleza - CE, 60015-050;;;Ensino Médio
Colégio Academos;;;R. Costa Barros, 850 - Aldeota, Fortaleza - CE, 60160-281;;;Ensino Médio
Colégio Universo;;;R. Joaquim Albano, 100 - Padre Andrade, Fortaleza - CE, 60356-342;;;Ensino Médio
Escola Vila;;;Rua Dom Sebastião Leme, 819 - Fátima, Fortaleza - CE, 60050-220;;;Ensino Médio
Escola São José;;;Av. Visconde do Rio Branco - Centro, Fortaleza - CE, 60055-170;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
Supletivo J Oliveira - Sede Centro;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
Colégio Alamar;;;R. Nogueira Acioli, 952 - Aldeota, Fortaleza - CE, 60110-140;;;Ensino Médio
EMEIEF Madre Teresa de Calcutá;;;R. Guilherme Moreira, 75 - Fátima, Fortaleza - CE, 60040-490;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
CEJA Monsenhor Hélio Campos;;;Av. Monsenhor Hélio Campos, 251 - Cristo Redentor, Fortaleza - CE, 60336-800;;;Ensino Médio
Farias Brito Jovem Central;;;R. Sen. Pompeu, 2607 - José Bonifacio, Fortaleza - CE, 60025-002;;;Ensino Médio
Colégio Ari de Sá Cavalcante - Sede Duque de Caxias;;;Av. Duque de Caxias, 519 - Centro, Fortaleza - CE, 60035-110;;;Ensino Médio
CEJA Paulo Freire;;;R. Olavo Bilac, 1300 - São Gerardo, Fortaleza - CE, 63475-061;;;Ensino Médio
Christus Pré-Universitário Jovita;;;R. Cruz Saldanha, 614 - Parquelândia, Fortaleza - CE, 60450-340;;;Ensino Médio
EMEIF São Rafael;;;R. dos Tabajaras, 244 - Praia de Iracema, Fortaleza - CE, 60060-510;;;Ensino Médio
Colégio Farias Brito;;;R. Barão do Rio Branco, 2424 - José Bonifacio, Fortaleza - CE, 60025-062;;;Ensino Médio
Instituto Infantil Tia Neuma;;;Alameda Ana Elisa, 133 - Cidade 2000, Fortaleza - CE, 60190-130;;;Ensino Médio
EMEIEF José Ramos Torres de Melo;;;Av. da Abolição, 3984 - Mucuripe, Fortaleza - CE, 60165-085;;;Ensino Médio
Colégio Salomé Bastos;;;R. Des. Hermes Paraíba, 1120 - Vila Velha, Fortaleza - CE, 60347-155;;;Ensino Médio
EMEIF Profa. Maria Odnilra Cruz Moreira;;;Av. das Adenanteras, 800 - Cidade 2000, Fortaleza - CE, 60190-560;;;Ensino Médio
EMTI Profa. Maria José Ferreira Gomes;;;R. Cônego de Castro, 8617 - Parque Pres. Vargas, Fortaleza - CE, 60713-305;;;Ensino Médio
Colégio da Imaculada Conceição;;;Av. Santos Dumont, 55 - Centro, Fortaleza - CE, 60150-160;;;Ensino Médio
Colégio Rosa Gattorno;;;R. Oscar Pedreira, 98 - Jacarecanga, Fortaleza - CE, 60010-670;;;Ensino Médio
Centro Educacional Maria Montfort;;;Rua Professor João Bosco, 213 - Parque Araxá, Fortaleza - CE, 60430-690;;;Ensino Médio
Externato São Vicente de Paulo;;;R. Vinte e Cinco de Março, 407 - Centro, Fortaleza - CE, 60060-120;;;Ensino Médio
Centro Educacional José de Alencar - EJA e Supletivo Online;;;Rua Dona Leopoldina, 912 - Centro, Fortaleza - CE, 60110-000;;;Ensino Médio
Blive Fortaleza;;;R. José Vilar, 2119 - Dionísio Torres, Fortaleza - CE, 60125-001;;;Ensino Médio
Supletivo J Oliveira - Sede Centro;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
CEJA Professor Gilmar Maia de Sousa;;;R. Guilherme Rocha, 1055 - Centro, Fortaleza - CE, 60030-140;;;Ensino Médio
Colégio Farias Brito Júnior Central;;;R. Padre Miguelino, 1369 - Centro, Fortaleza - CE, 60040-300;;;Ensino Médio
Colégio Ícone - Anexo;;;Rua 30 de Março, 28 - Barra do Ceará, Fortaleza - CE, 60334-120;;;Ensino Médio
